Location,count_week,vap,wet,pet,pre,tmn,tmp,tmx,dtr,Week,Epi_Week,Total_cases,Cum_cases,Weeks,Month,Year,Country,Population,Latitude,Longitude
BOKE,99,9.79805186105406,0,5.35732434384648,0,16.6548994266266,25.6448646289945,34.683114219778,18.0282147931514,17 to 23 November 2014 (2014-W47), 2014-W47 ,0,1,2014-11-18,11,2014,Guinea,450278,10.93944,-14.29668
BOKE,100,9.29552628350145,0,5.25841143330713,0,15.8645588517525,24.8949910570611,33.9742724077983,18.1097135560458,24 to 30 November 2014 (2014-W48), 2014-W48 ,0,1,2014-11-25,11,2014,Guinea,450278,10.93944,-14.29668
BOKE,101,8.94479402223034,0,5.1751942808424,0,15.2369456204783,24.2962066716418,33.4063223772536,18.1693767567753,01 to 07 December 2014 (2014-W49), 2014-W49 ,0,1,2014-12-02,12,2014,Guinea,450278,10.93944,-14.29668
BOKE,102,8.69000198091038,0,5.12587853590892,0,14.8177695402943,23.9023353347733,33.0411248586143,18.22335531832,08 to 14 December 2014 (2014-W50), 2014-W50 ,0,1,2014-12-09,12,2014,Guinea,450278,10.93944,-14.29668
BOKE,103,8.52494028790778,0,5.12677057519804,0,14.6455660505512,23.7471712765452,32.9067623753534,18.2611963248022,15 to 21 December 2014 (2014-W51), 2014-W51 ,0,1,2014-12-16,12,2014,Guinea,450278,10.93944,-14.29668
BOKE,104,8.44766945650888,0,5.19401339709874,0,14.758253440652,23.862785747955,33.0284117987292,18.2701583580772,22 to 28 December 2014 (2014-W52), 2014-W52 ,0,1,2014-12-23,12,2014,Guinea,450278,10.93944,-14.29668
BOKE,105,8.45625,0,5.34375,0,15.19375,24.28125,33.43125,18.2375,29 December 2014 to 04 January 2015 (2015-W01), 2015-W01 ,0,1,2014-12-30,12,2014,Guinea,450278,10.93944,-14.29668
BOKE,106,8.5430502025799,0,5.58272586424324,0,15.9608029567621,25.0094225103332,34.1196033114525,18.1588003546904,05 to 11 January 2015 (2015-W02), 2015-W02 ,0,1,2015-01-06,1,2015,Guinea,450278,10.93944,-14.29668
BOKE,107,8.677669432097,0,5.88009639797962,0,16.9514752941611,25.9533106632298,35.0143959094866,18.0629206153255,12 to 18 January 2015 (2015-W03), 2015-W03 ,0,1,2015-01-13,1,2015,Guinea,450278,10.93944,-14.29668
BOKE,108,8.82401482731217,0,6.19561949131274,0,18.0286589341836,26.9937090696205,36.0157014315308,17.9870424973472,19 to 25 January 2015 (2015-W04), 2015-W04 ,0,1,2015-01-20,1,2015,Guinea,450278,10.93944,-14.29668
BOKE,109,8.94599352698626,0,6.48905303434618,0,19.0552457988163,28.0114123404359,37.0235935150133,17.9683477161971,26 January to 01 February 2015 (2015-W05), 2015-W05 ,0,1,2015-01-27,1,2015,Guinea,450278,10.93944,-14.29668
BOKE,110,9.01492718311696,0,6.7228989713034,0,19.9057177054736,28.8960388060556,37.9440517747999,18.0383340693263,02 to 08 February 2015 (2015-W06), 2015-W06 ,0,1,2015-02-03,2,2015,Guinea,450278,10.93944,-14.29668
BOKE,111,9.0883311640802,0,6.89155887555106,0,20.5892890059172,29.6397825354505,38.7517128134625,18.1624238075453,09 to 15 February 2015 (2015-W07), 2015-W07 ,0,1,2015-02-10,2,2015,Guinea,450278,10.93944,-14.29668
BOKE,112,9.27932968752815,0,7.01001472635468,1.44269492898719,21.2020982676167,30.3010154934573,39.4655080643518,18.2634097967351,16 to 22 February 2015 (2015-W08), 2015-W08 ,0,1,2015-02-17,2,2015,Guinea,450278,10.93944,-14.29668
BOKE,113,9.70197378526763,0,7.09359150974475,1.51538388575432,21.84173279497,30.9392126098437,40.105107207998,18.2633744130279,23 February to 01 March 2015 (2015-W09), 2015-W09 ,0,1,2015-02-24,2,2015,Guinea,450278,10.93944,-14.29668
BOKE,114,10.468940267894,0,7.15743514305513,0,22.6044762555658,31.6129566736814,40.6897202753473,18.0852440197815,02 to 08 March 2015 (2015-W10), 2015-W10 ,0,1,2015-03-03,3,2015,Guinea,450278,10.93944,-14.29668
BOKE,115,11.610452673315,0,7.20594742182012,0,23.5083941084225,32.3273020322757,41.2109783223034,17.7025842138809,09 to 15 March 2015 (2015-W11), 2015-W11 ,0,1,2015-03-10,3,2015,Guinea,450278,10.93944,-14.29668
BOKE,116,13.0289319667727,0,7.22687675278476,0,24.4503135892746,33.0043339481943,41.6177649934539,17.1674514041793,16 to 22 March 2015 (2015-W12), 2015-W12 ,1,2,2015-03-17,3,2015,Guinea,450278,10.93944,-14.29668
BOKE,117,14.6158053438176,0,7.20653899312079,0,25.3166328393809,33.5590005584361,41.8552867367144,16.5386538973335,23 to 29 March 2015 (2015-W13), 2015-W13 ,0,2,2015-03-24,3,2015,Guinea,450278,10.93944,-14.29668
BOKE,118,16.2625,1.2875,7.13125,1.98125,25.99375,33.90625,41.86875,15.875,30 March to 05 April 2015 (2015-W14), 2015-W14 ,0,2,2015-03-31,3,2015,Guinea,450278,10.93944,-14.29668
BOKE,119,17.8723079571486,2.07681859701206,6.99279531005546,6.97827518075158,26.3968480789139,33.9865085842413,41.625082546772,15.2282344678581,06 to 12 April 2015 (2015-W15), 2015-W15 ,0,2,2015-04-07,4,2015,Guinea,450278,10.93944,-14.29668
BOKE,120,19.3959805422048,3.10477167939526,6.80483917776556,14.0731484908481,26.5562495499983,33.8421153199417,41.1780974026748,14.6218478526765,13 to 19 April 2015 (2015-W16), 2015-W16 ,0,2,2015-04-14,4,2015,Guinea,450278,10.93944,-14.29668
BOKE,121,20.7961339083881,4.20911858452687,6.58651553707001,22.5161924707058,26.531061753652,33.5408873902389,40.6033289088985,14.0722671552465,20 to 26 April 2015 (2015-W17), 2015-W17 ,0,2,2015-04-21,4,2015,Guinea,450278,10.93944,-14.29668
BOKE,122,22.0353842089182,5.2276186497841,6.35695832190853,31.5577296607411,26.380392030274,33.1506419782712,39.9763114066333,13.5959193763593,27 April to 03 May 2015 (2015-W18), 2015-W18 ,1,3,2015-04-28,4,2015,Guinea,450278,10.93944,-14.29668
BOKE,123,23.080015809184,6.01166903998558,6.13409758657497,40.4774866243805,26.1607811260719,32.7352540156492,39.3673082827592,13.2065271566873,04 to 10 May 2015 (2015-W19), 2015-W19 ,0,3,2015-05-05,5,2015,Guinea,450278,10.93944,-14.29668
BOKE,124,23.9389560410441,6.57120666395575,5.9218682844802,48.8970116925453,25.8989331297788,32.3127697599798,38.7853080803004,12.8863749505216,11 to 17 May 2015 (2015-W20), 2015-W20 ,4,7,2015-05-12,5,2015,Guinea,450278,10.93944,-14.29668
BOKE,125,24.6486438276278,7.01845213632934,5.71517627169123,56.6583833687346,25.6023026736926,31.8716685824156,38.1997671849547,12.5974645112621,18 to 24 May 2015 (2015-W21), 2015-W21 ,1,8,2015-05-19,5,2015,Guinea,450278,10.93944,-14.29668
BOKE,126,25.2459766185855,7.46733080017123,5.50877691931932,63.6073556593235,25.2780235658374,31.3999370726683,37.5794831131311,12.3014595472937,25 to 31 May 2015 (2015-W22), 2015-W22 ,1,9,2015-05-26,5,2015,Guinea,450278,10.93944,-14.29668
BOKE,127,25.7674928620309,8.030749344018,5.29742099763249,69.603019454369,24.9332021533674,30.8857102705264,36.8935823169778,11.9603801636104,01 to 07 June 2015 (2015-W23), 2015-W23 ,1,10,2015-06-02,6,2015,Guinea,450278,10.93944,-14.29668
BOKE,128,26.2281909138583,8.7604951847082,5.07558322630405,75.3046786648274,24.5732971312511,30.3260302203913,36.1309273929899,11.5576302617388,08 to 14 June 2015 (2015-W24), 2015-W24 ,3,13,2015-06-09,6,2015,Guinea,450278,10.93944,-14.29668
BOKE,129,26.6096819870228,9.61362086794846,4.83731044658547,82.6119673840494,24.2012133335694,29.7317448238144,35.3109719614004,11.109758627831,15 to 21 June 2015 (2015-W25), 2015-W25 ,6,19,2015-06-16,6,2015,Guinea,450278,10.93944,-14.29668
BOKE,130,26.8907052821836,10.539029703219,4.57661269298229,93.5312147748389,23.8196359074448,29.1148895829618,34.4558011283552,10.6361652209104,22 to 28 June 2015 (2015-W26), 2015-W26 ,9,28,2015-06-23,6,2015,Guinea,450278,10.93944,-14.29668
BOKE,131,27.05,11.485625,4.2875,110.06875,23.43125,28.4875,33.5875,10.15625,29 June to 05 July 2015 (2015-W27), 2015-W27 ,6,34,2015-06-30,6,2015,Guinea,450278,10.93944,-14.29668
BOKE,132,27.0814063261013,12.4035515839792,3.97276689771578,133.055663456944,23.042534240578,27.8690997026533,32.7391447661886,9.69661052561061,06 to 12 July 2015 (2015-W28), 2015-W28 ,0,34,2015-07-07,7,2015,Guinea,450278,10.93944,-14.29668
BOKE,133,27.0391683859974,13.2479203456738,3.67034589849336,158.622090481511,22.6751411874033,27.3091648208783,31.9877759516062,9.31263476420287,13 to 19 July 2015 (2015-W29), 2015-W29 ,0,34,2015-07-14,7,2015,Guinea,450278,10.93944,-14.29668
BOKE,134,26.9926312901685,13.9750836918086,3.42695401026816,181.722927644147,22.3545168809209,26.8646596101899,31.4214251646459,9.06690828372494,20 to 26 July 2015 (2015-W30), 2015-W30 ,0,34,2015-07-21,7,2015,Guinea,450278,10.93944,-14.29668
BOKE,135,27.0111401490948,14.5413940291085,3.28930824097554,197.3130715153,22.1061073615756,26.5925483261028,31.1281240137006,9.02201665212497,27 July to 02 August 2015 (2015-W31), 2015-W31 ,0,34,2015-07-28,7,2015,Guinea,450278,10.93944,-14.29668
BOKE,136,27.153589041547,14.8986981419556,3.29948624459509,200.736694299485,21.9531761420666,26.5443072277035,31.187119160319,9.23394301825245,03 to 09 August 2015 (2015-W32), 2015-W32 ,0,34,2015-08-04,8,2015,Guinea,450278,10.93944,-14.29668
BOKE,137,27.3573788026756,14.9464649550012,3.44563318536998,191.863297447257,21.8936148500476,26.7076146156022,31.5755322589828,9.68191740893513,10 to 16 August 2015 (2015-W33), 2015-W33 ,0,34,2015-08-11,8,2015,Guinea,450278,10.93944,-14.29668
BOKE,138,27.4815275298112,14.5503712253278,3.68109907287477,173.481949664682,21.9089461550792,27.028988817198,32.2045978628401,10.2956517077609,17 to 23 August 2015 (2015-W34), 2015-W34 ,0,34,2015-08-18,8,2015,Guinea,450278,10.93944,-14.29668
BOKE,139,27.3837469413207,13.5755305072253,3.95865399743953,148.430379112081,21.9804199107532,27.4542621603366,32.9844524066836,11.0040324959304,24 to 30 August 2015 (2015-W35), 2015-W35 ,0,34,2015-08-25,8,2015,Guinea,450278,10.93944,-14.29668
BOKE,140,26.923018298399,11.890220455352,4.23139248392427,119.543297486234,22.0890561480289,27.92927858075,33.8254910488182,11.7364349007893,31 August to 06 September 2015 (2015-W36), 2015-W36 ,0,34,2015-09-01,9,2015,Guinea,450278,10.93944,-14.29668
BOKE,141,26.0344954319088,9.55256474647586,4.47187512898557,89.4744286711726,22.2020855398913,28.4005784873489,34.653632358288,12.4515468183967,07 to 13 September 2015 (2015-W37), 2015-W37 ,0,34,2015-09-08,9,2015,Guinea,450278,10.93944,-14.29668
BOKE,142,24.7713996556985,6.91494839163458,4.68283494056475,60.5969654411724,22.2653652544659,28.8157818224713,35.4188561907827,13.1534909363168,14 to 20 September 2015 (2015-W38), 2015-W38 ,0,34,2015-09-15,9,2015,Guinea,450278,10.93944,-14.29668
BOKE,143,23.1971086262386,4.35506920481401,4.86960040284261,35.2599688621445,22.2229138788147,29.1226013915456,36.0732121900906,13.8502983112759,21 to 27 September 2015 (2015-W39), 2015-W39 ,0,34,2015-09-22,9,2015,Guinea,450278,10.93944,-14.29668
BOKE,144,21.375,2.250625,5.0375,15.8125,22.01875,29.26875,36.56875,14.55,28 September to 04 October 2015 (2015-W40), 2015-W40 ,0,34,2015-09-29,9,2015,Guinea,450278,10.93944,-14.29668
BOKE,145,19.3760662717491,0,5.18984000508275,3.90431882238848,21.6139476513576,29.2159059902143,36.8682130069593,15.2542653556017,05 to 11 October 2015 (2015-W41), 2015-W41 ,0,34,2015-10-06,10,2015,Guinea,450278,10.93944,-14.29668
BOKE,146,17.3017592894366,0,5.32183784659666,0,21.0378026513184,28.9816098523735,36.9771195680576,15.9393169167392,12 to 18 October 2015 (2015-W42), 2015-W42 ,0,34,2015-10-13,10,2015,Guinea,450278,10.93944,-14.29668
BOKE,147,15.2611457393088,0,5.42668874191257,0,20.336666264587,28.5973676136139,36.9116817830443,16.5750155184573,19 to 25 October 2015 (2015-W43), 2015-W43 ,0,34,2015-10-20,10,2015,Guinea,450278,10.93944,-14.29668
BOKE,148,13.3632923076122,0,5.49758790840128,0,19.5568897558681,28.0946853010718,36.6881117516688,17.1312219958006,26 October to 01 November 2015 (2015-W44), 2015-W44 ,0,34,2015-10-27,10,2015,Guinea,450278,10.93944,-14.29668
BOKE,149,11.7168144309166,0,5.52785039816752,1.76401153202609,18.7438136967539,27.5042413545086,36.3219878704115,17.5781741736576,02 to 08 November 2015 (2015-W45), 2015-W45 ,0,34,2015-11-03,11,2015,Guinea,450278,10.93944,-14.29668
BOKE,150,10.4250817682988,0,5.51218434209793,3.95365236550779,17.9310293514034,26.8470935104525,35.821521735254,17.8904923838505,09 to 15 November 2015 (2015-W46), 2015-W46 ,0,34,2015-11-10,11,2015,Guinea,450278,10.93944,-14.29668
BOKE,151,9.58807960625963,0,5.44619663158359,4.70001103642266,17.1445477856319,26.1380926001202,35.1901721676618,18.0456243820299,16 to 22 November 2015 (2015-W47), 2015-W47 ,0,34,2015-11-17,11,2015,Guinea,450278,10.93944,-14.29668
BOKE,152,9.30573682509051,0,5.32550913735732,2.99550333903564,16.4102537286156,25.3919860063065,34.4313187761921,18.0210650475766,23 to 29 November 2015 (2015-W48), 2015-W48 ,0,34,2015-11-24,11,2015,Guinea,450278,10.93944,-14.29668
CONAKRY,1,8.7,0,4.9,0,17.3,25,32.8,15.5,NA,NA,0,0,2013-01-01,1,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,2,8.28347958208736,0,5.03030954940664,0,16.8316438346308,24.844680846915,32.9590837458795,16.1274399112487,NA,NA,0,0,2013-01-08,1,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,3,8.04381725015217,0,5.26961589078969,0,17.0110742405815,25.257227741894,33.6052934845591,16.5942192439776,NA,NA,0,0,2013-01-15,1,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,4,7.98592879845932,0,5.59088215569216,0,17.7227700526266,26.1258063654104,34.6304817422107,16.907711689584,NA,NA,0,0,2013-01-22,1,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,5,8.11473002127373,0,5.96707147565706,0,18.851210105541,27.3385823979376,35.9265010450063,17.0752909394653,NA,NA,0,0,2013-01-29,1,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,6,8.43648875967184,0,6.37022059225593,4.66624332750748,20.2778391947623,28.7798498314352,37.3805506178042,17.1027114230419,NA,NA,0,0,2013-02-05,2,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,7,8.9731903989143,0,6.76159696364193,10.5118740714625,21.8488314084366,30.2888942788903,38.8257350576876,16.9769036492509,NA,NA,0,0,2013-02-12,2,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,8,9.75696067534833,1.4502481197131,7.09552012318217,15.7242847502542,23.387605539683,31.6759636894369,40.0602592018849,16.6726536622019,NA,NA,0,0,2013-02-19,2,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,9,10.8200943311726,1.85532334124804,7.32619380549733,19.1236440244367,24.7172011267035,32.7508220511448,40.8817462249607,16.1645450982572,NA,NA,0,0,2013-02-26,2,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,10,12.1940410793286,2.02477059347329,7.40840073894024,19.5465836531328,25.6625539822856,33.3256531574048,41.0907276148003,15.4281736325147,NA,NA,0,0,2013-03-05,3,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,11,13.8595488773248,1.95121579419086,7.33166327579402,16.8175213095584,26.1623763943515,33.3578291208736,40.6622336585629,14.4998572642114,NA,NA,0,0,2013-03-12,3,2013,Guinea,1660973,9.537029,-13.67847
CONAKRY,12,15.7187779617489,1.77434490416061,7.13935018543365,12.2919428337739,26.3317341872822,33.0297639490705,39.8417677822817,13.5100335949996,NA,NA,0,0,2013-03-19,3,2013,Guinea,1660973,9.537029,-13.67847
